Month,Index (1982-84=1),Nominal,Motor Gasoline Price($/gallon),Base CPI (5/2023)
February 2020,2.592,2.44,2.86,
March 2020,2.581,2.23,2.63,
April 2020,2.561,1.84,2.18,
May 2020,2.559,1.87,2.22,
June 2020,2.570,2.08,2.46,
July 2020,2.583,2.18,2.57,
August 2020,2.594,2.18,2.55,
September 2020,2.600,2.18,2.55,
October 2020,2.603,2.16,2.52,
November 2020,2.608,2.11,2.45,
December 2020,2.620,2.20,2.54,
January 2021,2.627,2.33,2.70,
February 2021,2.636,2.50,2.88,
March 2021,2.649,2.81,3.22,
April 2021,2.667,2.86,3.25,
May 2021,2.684,2.99,3.37,
June 2021,2.706,3.06,3.44,
July 2021,2.718,3.14,3.50,
August 2021,2.729,3.16,3.51,
September 2021,2.740,3.18,3.52,
October 2021,2.765,3.29,3.61,
November 2021,2.787,3.39,3.70,
December 2021,2.809,3.31,3.57,
January 2022,2.826,3.31,3.56,
February 2022,2.846,3.52,3.75,
March 2022,2.875,4.22,4.46,
April 2022,2.886,4.11,4.32,
May 2022,2.913,4.44,4.63,
June 2022,2.947,4.93,5.08,
July 2022,2.946,4.56,4.70,
August 2022,2.953,3.98,4.09,
September 2022,2.965,3.70,3.79,
October 2022,2.980,3.82,3.89,
November 2022,2.986,3.69,3.75,
December 2022,2.990,3.21,3.26,
January 2023,3.005,3.34,3.37,
February 2023,3.016,3.39,3.41,
March 2023,3.018,3.42,3.44,
April 2023,3.028,3.60,3.61,
